route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
N,MTA NYCT,N,Broadway Local,"Trains operate from Astoria-Ditmars Blvd, Queens, to Coney Island-Stillwell Av, Brooklyn, at all times. N trains in Manhattan operate along Broadway and across the Manhattan Bridge to and from Brooklyn. Trains in Brooklyn operate along 4 Avenue, then through Borough Park and Gravesend. Trains typically operate local in Queens and express in Manhattan and Brooklyn. Late night trains operate local in Manhattan and to/from Brooklyn via Whitehall St-South Ferry, Manhattan. Weekends, N trains operate local in Manhattan.",1,https://www.mta.info/schedules/subway/n-train,F6BC26,000000,13
Q,MTA NYCT,Q,Broadway Express,"Trains operate between 96 St (2 Av), Manhattan, and Coney Island-Stillwell Av, Brooklyn at all times. Trains operate local in Brooklyn at all times. Train operate express in Manhattan at all times, except late nights when trains operate local in Manhattan.",1,https://www.mta.info/schedules/subway/q-train,F6BC26,000000,14
R,MTA NYCT,R,Broadway Local,"Trains operate local between Forest Hills-71 Av, Queens, and Bay Ridge-95 St, Brooklyn, at all times except late nights. During late nights, trains operate between Whitehall St-South Ferry, Manhattan and Bay Ridge-95 St, Brooklyn.",1,https://www.mta.info/schedules/subway/r-train,F6BC26,000000,15
W,MTA NYCT,W,Broadway Local,"Trains operate from Astoria-Ditmars Blvd, Queens, to Whitehall St-South Ferry, Manhattan, on weekdays only.",1,https://www.mta.info/schedules/subway/w-train,F6BC26,000000,16
GS,MTA NYCT,S,42 St Shuttle,"Operates in Manhattan between Grand Central-42 St and Times Sq-42 St. The shuttle provides a free transfer between 4, 5, 6, and 7 service at Grand Central-42 St and A, C, E, N, Q, R, W, 1, 2, 3, and 7 service at Times Sq-42 St. The shuttle runs at all times except during late nights from about 12 midnight to 6 AM.",1,https://www.mta.info/schedules/subway/42-st-shuttle,7C858C,FFFFFF,17
FS,MTA NYCT,S,Franklin Avenue Shuttle,Trains operate in Brooklyn between Franklin Av (Fulton St) and Prospect Park.,1,https://www.mta.info/schedules/subway/franklin-avenue-shuttle,7C858C,FFFFFF,18
H,MTA NYCT,S,Rockaway Park Shuttle,"Service operates at all times between Broad Channel and Rockaway Park, Queens.",1,https://www.mta.info/schedules/subway/rockaway-park-shuttle,7C858C,FFFFFF,19
1,MTA NYCT,1,Broadway - 7 Avenue Local,"Trains operate between Van Cortlandt Park-242 St, Bronx and South Ferry, Manhattan at all times.",1,https://www.mta.info/schedules/subway/1-train,D82233,FFFFFF,20
2,MTA NYCT,2,7 Avenue Express,"Trains operate between Wakefield-241 St, Bronx, and Flatbush Av-Brooklyn College, Brooklyn, at all times. Trains operate local in the Bronx and Brooklyn. Trains operate express in Manhattan except late nights, when they operate local.",1,https://www.mta.info/schedules/subway/2-train,D82233,FFFFFF,21
3,MTA NYCT,3,7 Avenue Express,"Trains operate between Harlem-148 St, Manhattan, and New Lots Av, Brooklyn, at all times except late nights. During late nights, trains operate only in Manhattan between Harlem-148 St and 34 St-Penn Station.",1,https://www.mta.info/schedules/subway/3-train,D82233,FFFFFF,22
4,MTA NYCT,4,Lexington Avenue Express,"Trains operate daily between Woodlawn, Bronx, and Crown Hts-Utica Av, Brooklyn, running express in Manhattan and Brooklyn. During late night and early morning hours, trains run local in Manhattan and Brooklyn and extend beyond Crown Hts-Utica Av to New Lots Av, Brooklyn.",1,https://www.mta.info/schedules/subway/4-train,009952,FFFFFF,23
5,MTA NYCT,5,Lexington Avenue Express,"Weekdays daytime, most trains operate between either Eastchester-Dyre Av or Nereid Av, Bronx and Flatbush Av-Brooklyn College, Brooklyn. At all other times except during late nights, trains operate between Eastchester-Dyre Av, Bronx and Bowling Green, Manhattan. During late nights, trains operate only in the Bronx between Eastchester-Dyre Av and E 180 St. Customers who ride during late night hours can transfer to 2 service at E 180 St. At all times, trains operate express in Manhattan and Brooklyn. Weekdays, trains in the Bronx operate express from E 180 St to 3 Av-149 St during morning rush hours (from about 6 AM to 9 AM), and from 3 Av-149 St to E 180 St during the evening rush hours (from about 4 PM to 7 PM).",1,https://www.mta.info/schedules/subway/5-train,009952,FFFFFF,24
6,MTA NYCT,6,Lexington Avenue Local,"Local trains operate between Pelham Bay Park, Bronx, and Brooklyn Bridge-City Hall, Manhattan, at all times.",1,https://www.mta.info/schedules/subway/6-train,009952,FFFFFF,25
6X,MTA NYCT,6X,Pelham Bay Park Express,"Express trains operate between Pelham Bay Park, Bronx, and Brooklyn Bridge-City Hall, Manhattan, weekday mornings express in the Bronx toward Manhattan. Weekday afternoons and evenings, these trains operate express in the Bronx toward Pelham Bay Park.",1,https://www.mta.info/schedules/subway/6-train,009952,FFFFFF,26
7,MTA NYCT,7,Flushing Local,"Trains operate between Flushing-Main St, Queens, and 34 St-Hudson Yards, Manhattan, at all times.",1,https://www.mta.info/schedules/subway/7-train,9A38A1,FFFFFF,27
7X,MTA NYCT,7X,Flushing Express,"Trains operate between Flushing-Main St, Queens, and 34 St-Hudson Yards, Manhattan, weekday mornings express toward Manhattan. Weekday afternoons and evenings, these trains operate express toward Queens.",1,https://www.mta.info/schedules/subway/7-train,9A38A1,FFFFFF,28
SI,MTA NYCT,SIR,Staten Island Railway,"Service runs 24 hours a day between the St George and Tottenville terminals. At the St George terminal, customers can make connections with Staten Island Ferry service to Manhattan.",2,https://www.mta.info/schedules/subway/staten-island-railway,08179C,FFFFFF,29
